Melbourne,Western Bulldogs,MCG,97 - 71
Carlton,Richmond,MCG,101 - 76
St Kilda,Collingwood,Marvel Stadium,85 - 102
Geelong Cats,Essendon,MCG,138 - 72
GWS Giants,Sydney Swans,Accor Stadium,92 - 112
Brisbane Lions,Port Adelaide,Gabba,80 - 69
Hawthorn,North Melbourne,MCG,78 - 58
Adelaide Crows,Fremantle,Adelaide Oval,82 - 83
West Coast Eagles,Gold Coast Suns,Optus Stadium,80 - 107
Western Bulldogs,Carlton,Marvel Stadium,90 - 102
Sydney Swans,Geelong Cats,SCG,107 - 77
Collingwood,Adelaide Crows,MCG,100 - 58
Essendon,Brisbane Lions,Marvel Stadium,75 - 97
Port Adelaide,Hawthorn,Adelaide Oval,56 - 120
Gold Coast Suns,Melbourne,Metricon Stadium,69 - 82
North Melbourne,West Coast Eagles,Marvel Stadium,74 - 59
Richmond,GWS Giants,MCG,109 - 73
Fremantle,St Kilda,Optus Stadium,55 - 65
Western Bulldogs,Sydney Swans,Marvel Stadium,71 - 60
Melbourne,Essendon,MCG,99 - 70
Adelaide Crows,Port Adelaide,Adelaide Oval,96 - 92
GWS Giants,Gold Coast Suns,GIANTS Stadium,83 - 57
Collingwood,Geelong Cats,MCG,91 - 104
Brisbane Lions,North Melbourne,Gabba,156 - 48
Carlton,Hawthorn,MCG,74 - 73
St Kilda,Richmond,Marvel Stadium,117 - 84
West Coast Eagles,Fremantle,Optus Stadium,47 - 102
Port Adelaide,Melbourne,Adelaide Oval,36 - 68
Geelong Cats,Brisbane Lions,GMHBA Stadium,80 - 70
Sydney Swans,North Melbourne,SCG,86 - 75
Collingwood,West Coast Eagles,Marvel Stadium,74 - 87
Richmond,Western Bulldogs,MCG,99 - 61
Fremantle,GWS Giants,Optus Stadium,88 - 54
Essendon,Adelaide Crows,Marvel Stadium,103 - 99
Hawthorn,St Kilda,MCG,73 - 142
Gold Coast Suns,Carlton,Metricon Stadium,92 - 62
Brisbane Lions,Collingwood,Gabba,98 - 91
North Melbourne,Western Bulldogs,Marvel Stadium,71 - 139
West Coast Eagles,Sydney Swans,Optus Stadium,58 - 121
St Kilda,Gold Coast Suns,Marvel Stadium,87 - 61
Adelaide Crows,Richmond,Adelaide Oval,101 - 82
Melbourne,GWS Giants,MCG,120 - 53
Carlton,Port Adelaide,MCG,94 - 91
Essendon,Fremantle,Marvel Stadium,59 - 107
Hawthorn,Geelong Cats,MCG,92 - 80
GWS Giants,St Kilda,Manuka Oval,60 - 77
Western Bulldogs,Adelaide Crows,Mars Stadium,62 - 63
Port Adelaide,West Coast Eagles,Adelaide Oval,117 - 33
Fremantle,Carlton,Optus Stadium,97 - 62
North Melbourne,Geelong Cats,Blundstone Arena,61 - 121
Gold Coast Suns,Brisbane Lions,Metricon Stadium,80 - 132
Richmond,Melbourne,MCG,54 - 76
Hawthorn,Sydney Swans,University of Tasmania Stadium,68 - 109
Essendon,Collingwood,MCG,82 - 93
West Coast Eagles,Richmond,Optus Stadium,56 - 165
Geelong Cats,Fremantle,GMHBA Stadium,66 - 69
Adelaide Crows,GWS Giants,Adelaide Oval,54 - 113
Melbourne,Hawthorn,MCG,91 - 81
St Kilda,Port Adelaide,Cazalys Stadium,42 - 43
Carlton,North Melbourne,Marvel Stadium,114 - 64
Collingwood,Gold Coast Suns,MCG,115 - 90
Western Bulldogs,Essendon,Marvel Stadium,103 - 71
Sydney Swans,Brisbane Lions,SCG,89 - 113
Port Adelaide,Western Bulldogs,Adelaide Oval,86 - 69
Fremantle,North Melbourne,Optus Stadium,102 - 24
Richmond,Collingwood,MCG,113 - 86
Sydney Swans,Gold Coast Suns,SCG,61 - 75
GWS Giants,Geelong Cats,Manuka Oval,35 - 88
Essendon,Hawthorn,Marvel Stadium,108 - 81
Brisbane Lions,West Coast Eagles,Gabba,105 - 30
Melbourne,St Kilda,MCG,93 - 55
Carlton,Adelaide Crows,Marvel Stadium,116 - 68
Collingwood,Western Bulldogs,Marvel Stadium,51 - 99
Hawthorn,Richmond,MCG,94 - 117
North Melbourne,Port Adelaide,Blundstone Arena,46 - 115
St Kilda,Geelong Cats,Marvel Stadium,90 - 80
Sydney Swans,Essendon,SCG,105 - 47
Adelaide Crows,Brisbane Lions,Adelaide Oval,66 - 102
Gold Coast Suns,Fremantle,Metricon Stadium,69 - 33
GWS Giants,Carlton,GIANTS Stadium,75 - 105
West Coast Eagles,Melbourne,Optus Stadium,38 - 112
Carlton,Sydney Swans,Marvel Stadium,102 - 87
Geelong Cats,Port Adelaide,GMHBA Stadium,82 - 47
Western Bulldogs,Gold Coast Suns,Mars Stadium,106 - 87
North Melbourne,Melbourne,Marvel Stadium,53 - 100
Richmond,Essendon,MCG,80 - 48
Adelaide Crows,St Kilda,Adelaide Oval,69 - 90
GWS Giants,West Coast Eagles,GIANTS Stadium,138 - 86
Hawthorn,Brisbane Lions,University of Tasmania Stadium,117 - 112
Fremantle,Collingwood,Optus Stadium,44 - 80
Sydney Swans,Richmond,SCG,106 - 100
Brisbane Lions,GWS Giants,Gabba,110 - 96
Geelong Cats,Adelaide Crows,GMHBA Stadium,97 - 55
Melbourne,Fremantle,MCG,56 - 94
West Coast Eagles,Western Bulldogs,Optus Stadium,60 - 161
Gold Coast Suns,Hawthorn,TIO Stadium,121 - 54
St Kilda,North Melbourne,Marvel Stadium,103 - 50
Collingwood,Carlton,MCG,79 - 75
Port Adelaide,Essendon,Adelaide Oval,66 - 50
Western Bulldogs,Geelong Cats,Marvel Stadium,70 - 83
Adelaide Crows,West Coast Eagles,Adelaide Oval,88 - 57
Gold Coast Suns,North Melbourne,TIO Stadium,109 - 47
Melbourne,Sydney Swans,MCG,61 - 73
Hawthorn,Collingwood,MCG,68 - 72
Fremantle,Brisbane Lions,Optus Stadium,99 - 85
Richmond,Port Adelaide,MCG,77 - 65
Essendon,Carlton,MCG,54 - 80
Fremantle,Hawthorn,Optus Stadium,95 - 82
Brisbane Lions,St Kilda,Gabba,78 - 57
North Melbourne,GWS Giants,Marvel Stadium,53 - 102
Collingwood,Melbourne,MCG,82 - 56
Richmond,Carlton,MCG,81 - 66
St Kilda,Essendon,Marvel Stadium,72 - 107
Port Adelaide,Sydney Swans,Adelaide Oval,82 - 59
West Coast Eagles,Geelong Cats,Optus Stadium,63 - 81
GWS Giants,Western Bulldogs,GIANTS Stadium,105 - 125
Gold Coast Suns,Adelaide Crows,Metricon Stadium,116 - 73
Melbourne,Brisbane Lions,MCG,117 - 53
Western Bulldogs,Hawthorn,Marvel Stadium,125 - 83
West Coast Eagles,Essendon,Optus Stadium,107 - 97
Carlton,Fremantle,Marvel Stadium,81 - 50
Geelong Cats,Richmond,MCG,89 - 86
Sydney Swans,St Kilda,SCG,83 - 32
North Melbourne,Adelaide Crows,Blundstone Arena,58 - 115
Collingwood,GWS Giants,MCG,88 - 77
Port Adelaide,Gold Coast Suns,Adelaide Oval,93 - 91
Brisbane Lions,Western Bulldogs,Gabba,108 - 67
Carlton,St Kilda,Marvel Stadium,78 - 93
Essendon,Sydney Swans,MCG,95 - 86
Adelaide Crows,Melbourne,Adelaide Oval,65 - 94
Geelong Cats,North Melbourne,GMHBA Stadium,144 - 32
Gold Coast Suns,Collingwood,Metricon Stadium,62 - 67
Richmond,West Coast Eagles,MCG,128 - 93
GWS Giants,Hawthorn,GIANTS Stadium,72 - 50
Fremantle,Port Adelaide,Optus Stadium,99 - 91
Geelong Cats,Melbourne,GMHBA Stadium,91 - 63
Sydney Swans,Western Bulldogs,SCG,120 - 67
Collingwood,North Melbourne,MCG,88 - 81
Gold Coast Suns,Richmond,Metricon Stadium,94 - 92
St Kilda,Fremantle,Marvel Stadium,70 - 111
Port Adelaide,GWS Giants,Adelaide Oval,84 - 29
Brisbane Lions,Essendon,Gabba,90 - 100
Hawthorn,Adelaide Crows,Marvel Stadium,86 - 54
West Coast Eagles,Carlton,Optus Stadium,53 - 116
Western Bulldogs,St Kilda,Marvel Stadium,84 - 56
GWS Giants,Brisbane Lions,Manuka Oval,59 - 99
Adelaide Crows,Collingwood,Adelaide Oval,86 - 91
North Melbourne,Richmond,Marvel Stadium,92 - 88
Carlton,Geelong Cats,MCG,55 - 85
Fremantle,Sydney Swans,Optus Stadium,65 - 82
Hawthorn,West Coast Eagles,MCG,102 - 77
Melbourne,Port Adelaide,TIO Traeger Park,83 - 69
Essendon,Gold Coast Suns,Marvel Stadium,103 - 55
Richmond,Fremantle,Marvel Stadium,52 - 52
North Melbourne,Hawthorn,Blundstone Arena,75 - 121
Sydney Swans,Adelaide Crows,SCG,118 - 85
Port Adelaide,Geelong Cats,Adelaide Oval,94 - 106
Brisbane Lions,Gold Coast Suns,Gabba,110 - 93
Western Bulldogs,Melbourne,Marvel Stadium,110 - 100
Carlton,GWS Giants,Marvel Stadium,90 - 54
Collingwood,Essendon,MCG,80 - 76
West Coast Eagles,St Kilda,Optus Stadium,62 - 90
Fremantle,Melbourne,Optus Stadium,39 - 85
Collingwood,Port Adelaide,MCG,88 - 82
Sydney Swans,GWS Giants,SCG,112 - 39
St Kilda,Hawthorn,Marvel Stadium,75 - 63
Geelong Cats,Western Bulldogs,GMHBA Stadium,94 - 66
Adelaide Crows,Carlton,Adelaide Oval,84 - 55
Gold Coast Suns,West Coast Eagles,Metricon Stadium,107 - 104
Richmond,Brisbane Lions,MCG,104 - 97
Essendon,North Melbourne,Marvel Stadium,114 - 66
Melbourne,Collingwood,MCG,89 - 96
Hawthorn,Gold Coast Suns,University of Tasmania Stadium,70 - 63
GWS Giants,Essendon,GIANTS Stadium,96 - 69
Western Bulldogs,Fremantle,Marvel Stadium,78 - 95
Geelong Cats,St Kilda,GMHBA Stadium,110 - 65
Port Adelaide,Richmond,Adelaide Oval,71 - 109
North Melbourne,Sydney Swans,Marvel Stadium,88 - 126
Brisbane Lions,Carlton,Gabba,114 - 81
West Coast Eagles,Adelaide Crows,Optus Stadium,86 - 102
St Kilda,Brisbane Lions,Marvel Stadium,66 - 81
Western Bulldogs,GWS Giants,Marvel Stadium,62 - 57
Adelaide Crows,North Melbourne,Adelaide Oval,103 - 74
Gold Coast Suns,Geelong Cats,Metricon Stadium,59 - 119
Melbourne,Carlton,MCG,79 - 74
Fremantle,West Coast Eagles,Optus Stadium,71 - 47
Richmond,Hawthorn,MCG,128 - 67
Sydney Swans,Collingwood,SCG,77 - 50
Essendon,Port Adelaide,Marvel Stadium,62 - 146
Brisbane Lions,Melbourne,Gabba,57 - 115
GWS Giants,Fremantle,Manuka Oval,69 - 89
North Melbourne,Gold Coast Suns,Marvel Stadium,47 - 114
Geelong Cats,West Coast Eagles,GMHBA Stadium,131 - 46
Essendon,Richmond,MCG,75 - 141
Port Adelaide,Adelaide Crows,Adelaide Oval,111 - 55
Hawthorn,Western Bulldogs,University of Tasmania Stadium,64 - 87
Carlton,Collingwood,MCG,74 - 75
St Kilda,Sydney Swans,Marvel Stadium,74 - 88
Brisbane Lions,Richmond,Gabba,106 - 104
Melbourne,Sydney Swans,MCG,69 - 91
Geelong Cats,Collingwood,MCG,78 - 72
Fremantle,Western Bulldogs,Optus Stadium,73 - 60
Melbourne,Brisbane Lions,MCG,79 - 92
Collingwood,Fremantle,MCG,79 - 59
Geelong Cats,Brisbane Lions,MCG,120 - 49
Sydney Swans,Collingwood,SCG,95 - 94
Geelong Cats,Sydney Swans,MCG,133 - 52
